dataset,algorithm,n_folds,n_failed,roc_auc_mean,roc_auc_std,train_time_median_s,inference_time_median_s
electricity,random_forest,15,0,0.9702325327120993,0.0013718791955568417,0.883428017841652,0.0396031511481851
electricity,tabicl,15,0,0.980425766387712,0.0009137263957623863,0.4729347310494631,2.0975481080822647
electricity,tabpfn,15,0,0.98525192768337,0.0024774953978196554,0.6207854619715363,4.516578966984525
electricity,xgboost,15,0,0.9696803461826324,0.0015352390156343114,0.1143088699318468,0.0050693610683083
eucalyptus,catboost,15,0,0.9147335062476168,0.014258522694212043,6.280491258017719,0.0032866429537534
eucalyptus,lightgbm,15,0,0.9087689320220452,0.012395621777693292,0.2336047601420432,0.0050442540086805
eucalyptus,random_forest,15,0,0.9138874107454468,0.011532707741444157,0.1481838470790535,0.0282802460715174
eucalyptus,tabicl,15,0,0.9373930885387384,0.008067929798874267,0.4550325761083513,0.0942997781094163
eucalyptus,tabpfn,15,0,0.9317592506134508,0.00970069710513263,0.5569950139615685,0.4303374281153083
eucalyptus,xgboost,15,0,0.9076730616481619,0.012137545775779498,0.1811241540126502,0.0031982809305191
first-order-theorem-proving,catboost,15,0,0.84392345096146,0.007987273041360333,13.414939783979207,0.0059973080060444
first-order-theorem-proving,lightgbm,15,0,0.8416385103619733,0.007620393927140986,1.351202250982169,0.011261747975368
first-order-theorem-proving,random_forest,15,0,0.8378681338206425,0.008379306274493601,0.3869952979730442,0.027095221041236
first-order-theorem-proving,tabicl,15,0,0.8627323905506379,0.006639015383267215,0.809137619973626,0.3964590560062788
first-order-theorem-proving,tabpfn,15,0,0.8559069868867334,0.006385413419511754,0.5250374560127966,1.018245313025545
first-order-theorem-proving,xgboost,15,0,0.8413309314415758,0.008286048451901173,1.7608426589868031,0.0074456929578445
har,catboost,15,0,0.9998756723386654,5.1502469422217354e-05,146.45269029703925,0.0185644959565252
har,lightgbm,15,0,0.9998932474068792,3.836634210901103e-05,8.317778354976326,0.0208552610129117
har,random_forest,15,0,0.999492043490661,0.00013399752984809887,2.5601897090673447,0.0356387121137231
har,tabicl,15,0,0.9999866632562083,1.0561714493946143e-05,6.43213135516271,5.575284972088412
