dataset,catboost,lightgbm,random_forest,tabicl,tabpfn,xgboost,saturated
mfeat-zernike,0.9745208333333333,0.966111111111111,0.9680113425925926,0.9918907407407408,0.9829453703703703,0.9676263888888889,False
mnist_784,0.9992725312933735,0.9995233500611848,0.999019922815891,0.9999175840164928,0.9998612796290581,0.9995556774284909,True
nomao,0.995358958559258,0.9950348801176301,0.9942099148063209,0.9966666343442198,0.9964838022893338,0.9956778606486733,True
numerai28.6,0.5196441409629533,0.5227685055735064,0.5136641165462227,0.5311519975713158,0.5314976934732293,0.5136553384167502,False
optdigits,0.9997959322722063,0.9996205572679984,0.9996181206552284,0.999980488780975,0.9999755699846357,0.9994927464741148,True
ozone-level-8hr,0.9262503886298024,0.9199911725516323,0.9098679583981049,0.9404694694277889,0.942866218817085,0.9213495354948552,False
pc1,0.8759327690748298,0.8576245153448087,0.8461443497282283,0.8928521534585099,0.8842628713735545,0.8463304078138925,False
pc3,0.8433167842314863,0.8208435275800713,0.8377364138493476,0.8706107412938485,0.8622366442128453,0.814560958947636,False
pc4,0.952409267526455,0.9453794642857143,0.942682601686508,0.9609749090608465,0.9587793485449736,0.9445021081349207,False
pendigits,0.9997567939081116,0.9997377378854854,0.9996674881912544,0.9998728951219729,0.999871874746053,0.9997400885683658,True
phoneme,0.9534965803704548,0.9535316326009291,0.9616451783711086,0.9759117267694644,0.9777084389840053,0.9552375729588133,False
qsar-biodeg,0.937103240278334,0.9359698867331353,0.9340255026026127,0.9477936121927407,0.9455397720723488,0.931331846662174,False
satimage,0.9917063605577049,0.9911195310082849,0.989731707874989,0.9957941529999308,0.9962649121694783,0.9907845482922828,True
segment,0.9956713600652994,0.9952329937178422,0.9952484804757532,0.9977363825848674,0.9975071785677847,0.9946681825469704,True
semeion,0.9977887469987686,0.996846698316975,0.9961354331643139,0.9993063028323828,0.9990072698792345,0.9955723274338494,True
sick,0.9980990974065139,0.9976845797510419,0.9965864357769135,0.9978634372111016,0.9980563409685251,0.996502819030372,True
spambase,0.9883217167038613,0.9893622696810241,0.9863971429393367,0.992428927015161,0.9913742324042188,0.9879159273558432,False
splice,0.9949399461636035,0.9945917297262993,0.9922823044154724,0.9963704987135816,0.9955989664661012,0.994297649592495,True
steel-plates-fault,0.9660927844027682,0.9666316207394773,0.9606148086923952,0.9759738460304087,0.9752917609940639,0.9654628526086001,False
texture,0.9998707272727273,0.9998333333333334,0.9995864242424244,1.0,1.0,0.9997558787878787,True
tic-tac-toe,1.0,0.9992416331043196,0.9961049629198883,0.999591214681762,0.9997425714142132,1.0,True
vehicle,0.9355563614475462,0.9301024970062574,0.9273827398080656,0.9781577208224845,0.9783260391288897,0.9300000816581169,False
vowel,0.9991769547325103,0.9969921436588103,0.9989356528245418,0.9999962588851478,0.9999869060980172,0.9952450430228208,True
wall-robot-navigation,0.9999778076747364,0.9999681957524444,0.9999429205335156,0.999893768358158,0.9997866839530952,0.9999827624897869,True
wdbc,0.9936650552178995,0.9926473425681854,0.9894750068022259,0.9973293969963912,0.9973952096154302,0.9934653066258591,True
wilt,0.9914839590149678,0.988496581630075,0.9868004145701527,0.9960126362981574,0.9951374803082121,0.9891428340028475,True
