dataset,algorithm,fold,roc_auc,train_time_s,inference_time_s,error
balance-scale,catboost,0,0.9464738044390616,0.3055685689905658,0.0010085130343213,
balance-scale,catboost,1,0.951724865891377,0.2510003079660237,0.0010344609618186,
balance-scale,catboost,2,0.9495364669990068,0.2504620059626177,0.0010064600501209,
balance-scale,catboost,3,0.958636460076571,0.2515208330005407,0.0010465889936313,
balance-scale,catboost,4,0.953274813671108,0.2496635059360414,0.0009670100407674,
balance-scale,tabpfn,0,1.0,0.7115885819075629,1.1584884820040315,
balance-scale,tabpfn,1,1.0,0.4347166380612179,0.3089582399697974,
balance-scale,tabpfn,2,1.0,0.3787290520267561,0.3088308000005781,
balance-scale,tabpfn,3,0.997713016556737,0.3784068520180881,0.3078066039597615,
balance-scale,tabpfn,4,1.0,0.3763215449871495,0.308216243982315,
balance-scale,tabicl,0,1.0,0.2410819910001009,0.0633281429763883,
balance-scale,tabicl,1,0.9997101449275362,0.2614661309635266,0.0456448059994727,
balance-scale,tabicl,2,0.9982931693126376,0.3867448550881818,0.0451140359509736,
balance-scale,tabicl,3,0.9994202898550724,0.2580594350583851,0.0450698899803683,
balance-scale,tabicl,4,1.0,0.256786298006773,0.0450633610598742,
mfeat-factors,random_forest,0,0.9971145833333336,0.1816630710382014,0.0149167750496417,
mfeat-factors,random_forest,1,0.99821875,0.1779244909994304,0.0141683999681845,
mfeat-factors,random_forest,2,0.99825,0.1793464389629662,0.0143561799777671,
mfeat-factors,random_forest,3,0.996902777777778,0.170088656945154,0.0142698910785838,
mfeat-factors,random_forest,4,0.9997326388888887,0.1744437450543046,0.0142899410566315,
mfeat-factors,xgboost,0,0.9994027777777778,0.8177213809685782,0.0203221080591902,
mfeat-factors,xgboost,1,0.998284722222222,0.7152763459598646,0.020233234972693,
mfeat-factors,xgboost,2,0.9977222222222222,0.5874970969744027,0.0197766860947012,
mfeat-factors,xgboost,3,0.9960138888888888,0.5994858790654689,0.0205663619562983,
mfeat-factors,xgboost,4,0.9997222222222224,0.6060151970013976,0.0200211399933323,
mfeat-factors,lightgbm,0,0.9993333333333334,1.012442768085748,0.0063901810208335,
mfeat-factors,lightgbm,1,0.9991805555555556,1.006489938008599,0.0066674140980467,
mfeat-factors,lightgbm,2,0.9978402777777776,1.006315789069049,0.0064297799253836,
mfeat-factors,lightgbm,3,0.9974027777777776,1.0216842560330406,0.007077264948748,
mfeat-factors,lightgbm,4,0.999763888888889,1.0103465039283035,0.0064176010200753,
mfeat-factors,catboost,0,0.9994444444444446,30.79634801694192,0.0068246080772951,
mfeat-factors,catboost,1,0.9987986111111112,30.4244845029898,0.0065792429959401,
mfeat-factors,catboost,2,0.9988055555555556,30.906986789079383,0.0061296130297705,
mfeat-factors,catboost,3,0.9982569444444443,31.48613332398236,0.005674815038219,
mfeat-factors,catboost,4,0.9999236111111112,31.19042080000509,0.0055292779579758,
mfeat-factors,tabpfn,0,0.9999444444444444,0.919923041947186,1.448065024917014,
mfeat-factors,tabpfn,1,0.9998541666666666,0.4960908200591802,0.5900126049527898,
mfeat-factors,tabpfn,2,0.9994375,0.4350578270386904,0.5916184880770743,
mfeat-factors,tabpfn,3,0.9996736111111112,0.4348215339705348,0.5909769119461998,
mfeat-factors,tabpfn,4,1.0,0.5514648619573563,0.5895572069566697,
mfeat-factors,tabicl,0,0.9999444444444444,0.5105452359421179,0.6072442689910531,
mfeat-factors,tabicl,1,0.9999236111111112,0.4654867330100387,0.4422537679784,
mfeat-factors,tabicl,2,0.9996319444444446,0.4936593470629304,0.445629928028211,
mfeat-factors,tabicl,3,0.9998125,0.4701479179784655,0.4445486969780177,
mfeat-factors,tabicl,4,0.999986111111111,0.4859760199906304,0.4447068820009008,
mfeat-fourier,random_forest,0,0.9803645833333332,0.1783123089699074,0.0136735929409042,
mfeat-fourier,random_forest,1,0.9756631944444444,0.1610479060327634,0.0136647389736026,
mfeat-fourier,random_forest,2,0.9822881944444444,0.15880176005885,0.0136431470746174,
mfeat-fourier,random_forest,3,0.9827013888888888,0.1582458820194006,0.0137216339353472,
mfeat-fourier,random_forest,4,0.9841458333333334,0.1605199699988588,0.0135968179674819,
mfeat-fourier,xgboost,0,0.982159722222222,0.9451268028933556,0.0098012429662048,
mfeat-fourier,xgboost,1,0.98175,0.7356770420446992,0.009073628927581,
mfeat-fourier,xgboost,2,0.9842986111111112,0.7374813900096342,0.0094999839784577,
mfeat-fourier,xgboost,3,0.9818333333333336,0.7283632550388575,0.0089954120339825,
mfeat-fourier,xgboost,4,0.9831875,0.7397588329622522,0.0096282350132241,
mfeat-fourier,lightgbm,0,0.982722222222222,0.7281457809731364,0.0057848390424624,
mfeat-fourier,lightgbm,1,0.9776180555555556,0.7291279939236119,0.0055047610076144,
mfeat-fourier,lightgbm,2,0.983611111111111,0.7299510810989887,0.0057779389899224,
mfeat-fourier,lightgbm,3,0.98,0.7308281880104914,0.0056328820064663,
mfeat-fourier,lightgbm,4,0.9842222222222222,0.7308405559742823,0.0055005650501698,
mfeat-fourier,catboost,0,0.983,21.32386848388705,0.0034864649642258,
mfeat-fourier,catboost,1,0.9807708333333331,20.8777315299958,0.0041672489605844,
mfeat-fourier,catboost,2,0.9857083333333334,20.72956472600345,0.0032866260735318,
mfeat-fourier,catboost,3,0.9849097222222222,20.600863832980394,0.0033154600532725,
mfeat-fourier,catboost,4,0.9852847222222222,20.142895141034387,0.0032628319459035,
mfeat-fourier,tabpfn,0,0.9922847222222222,0.7205593279795721,1.213025858043693,
mfeat-fourier,tabpfn,1,0.9908125,0.4514651820063591,0.361771046067588,
mfeat-fourier,tabpfn,2,0.9935625,0.4399310969747603,0.3602686880622059,
mfeat-fourier,tabpfn,3,0.9940347222222222,0.3944369920063764,0.366700469981879,
mfeat-fourier,tabpfn,4,0.9937638888888888,0.5095358940307051,0.3599750360008329,
mfeat-fourier,tabicl,0,0.9927569444444446,0.3150407730136066,0.36602606496308,
mfeat-fourier,tabicl,1,0.9926805555555556,0.329999407986179,0.1848700759001076,
mfeat-fourier,tabicl,2,0.9935694444444444,0.3331572450697422,0.185302029014565,
mfeat-fourier,tabicl,3,0.9945347222222224,0.3327136939624324,0.185342248994857,
mfeat-fourier,tabicl,4,0.994736111111111,0.3369540739804506,0.1850845660082996,
bank-marketing,random_forest,0,0.9309277319359432,0.7109823360806331,0.0340796540258452,
bank-marketing,random_forest,1,0.9288329169700285,0.6833585710264742,0.033534157089889,
bank-marketing,random_forest,2,0.9227656044603384,0.6802308370824903,0.0329466169932857,
bank-marketing,random_forest,3,0.929690134048816,0.681456953054294,0.0338110820157453,
bank-marketing,random_forest,4,0.9221087496353766,0.680538417887874,0.0336683569476008,
bank-marketing,xgboost,0,0.9337657564455092,0.9005114811006933,0.0056204569991678,
bank-marketing,xgboost,1,0.9334126368682054,0.0789192800875753,0.0054244128987193,
bank-marketing,xgboost,2,0.9262952890658444,0.0772546669468283,0.0054506120504811,
bank-marketing,xgboost,3,0.934449593894784,0.0778516710270196,0.0053942680824548,
bank-marketing,xgboost,4,0.9278090680415652,0.0777269039535895,0.0054460250539705,
bank-marketing,lightgbm,0,0.939859116751281,0.1065164960455149,0.0076729300199076,
bank-marketing,lightgbm,1,0.9390179908046604,0.1030697650276124,0.0076769159641116,
bank-marketing,lightgbm,2,0.9330615389569308,0.1025082840351387,0.00758198404219,
bank-marketing,lightgbm,3,0.94019099162408,0.1034301540348678,0.007603776990436,
bank-marketing,lightgbm,4,0.9323861570020948,0.1030925379600375,0.0076963349711149,
bank-marketing,catboost,0,0.941376612339062,14.588391857920216,0.0150819349801167,
bank-marketing,catboost,1,0.9408463954114534,14.61357736296486,0.0122677310137078,
bank-marketing,catboost,2,0.9354443764655966,14.640046549029648,0.0119831450283527,
bank-marketing,catboost,3,0.9408142845236788,14.637229331070555,0.0120606899727135,
bank-marketing,catboost,4,0.93140711953207,14.631985459011048,0.0123766929609701,
bank-marketing,tabpfn,0,0.9480604583499544,1.25069326790981,4.2830261250492185,
bank-marketing,tabpfn,1,0.9456067401685636,0.9301135101122782,3.4841100990306586,
bank-marketing,tabpfn,2,0.942420107227688,0.9050321709364652,3.3179542960133404,
bank-marketing,tabpfn,3,0.9482341336737748,0.917334413039498,3.329139264998957,
bank-marketing,tabpfn,4,0.9408177176659556,0.9394921939820052,3.319732398027554,
bank-marketing,tabicl,0,0.9451777493954284,0.4738883950049057,1.8006116970209405,
bank-marketing,tabicl,1,0.9427209485145102,0.5008175709517673,1.687483730958775,
bank-marketing,tabicl,2,0.9390730894681611,0.5936379969352856,1.6274741078959778,
bank-marketing,tabicl,3,0.94466408005046,0.483076213975437,1.6260179270757362,
bank-marketing,tabicl,4,0.9378063191600592,0.4846083580050617,1.6243542559677735,
banknote-authentication,random_forest,0,1.0,0.0811698290053755,0.0127889510476961,
banknote-authentication,random_forest,1,1.0,0.0794219620293006,0.0127541789552196,
banknote-authentication,random_forest,2,0.9999460742018982,0.0789508869638666,0.0126658669905737,
banknote-authentication,random_forest,3,0.99970340811044,0.0796320969238877,0.0127559619722887,
banknote-authentication,random_forest,4,0.9998382226056944,0.0795235240366309,0.0127481699455529,
banknote-authentication,xgboost,0,1.0,0.8648368900176138,0.0015055440599098,
banknote-authentication,xgboost,1,0.9998928533161898,0.0139847820391878,0.0014177829725667,
banknote-authentication,xgboost,2,1.0,0.013620947021991,0.001306936959736,
banknote-authentication,xgboost,3,1.0,0.0135943769710138,0.0013022900093346,
banknote-authentication,xgboost,4,1.0,0.0140937549294903,0.0013294910313561,
banknote-authentication,lightgbm,0,1.0,0.0298924830276519,0.0009661670774221,
banknote-authentication,lightgbm,1,0.9996785599485696,0.02701108797919,0.0008788859704509,
banknote-authentication,lightgbm,2,1.0,0.0273241770919412,0.0009039030410349,
banknote-authentication,lightgbm,3,0.999676445211389,0.0271981690311804,0.0008820310467854,
banknote-authentication,lightgbm,4,1.0,0.027262013987638,0.000909921946004,
banknote-authentication,catboost,0,1.0,4.045728227938525,0.001221819082275,
banknote-authentication,catboost,1,1.0,4.009156601969153,0.0010148489382117,
banknote-authentication,catboost,2,1.0,3.965331095037982,0.0009906439809128,
banknote-authentication,catboost,3,0.9998921484037964,4.585073853028007,0.0007938890485092,
banknote-authentication,catboost,4,1.0,4.120580177055672,0.0008299329783767,
banknote-authentication,tabpfn,0,1.0,0.691044170060195,0.9954618570627644,
banknote-authentication,tabpfn,1,1.0,0.3777711619623005,0.2826148079475388,
banknote-authentication,tabpfn,2,1.0,0.3255841430509463,0.4188541920157149,
